Load #,Company,Amount Paid,Date Paid
RP31500A,RCG,$75.00,
RP31495A,RCG,$75.00,
RP31511A,RCG,$75.00,
RP31503A,RCG,$75.00,
RP31899A,RCG,$75.00,
RP31504A,RCG,$75.00,
RP32276A,RCG,$75.00,
RP36231A,RCG,$75.00,
RP36240A,RCG,$75.00,
RP36245A,RCG,$75.00,
RP36232A,RCG,$75.00,
RP36226A,RCG,$75.00,
RP36241A,RCG,$75.00,
RP36252A,RCG,$75.00,
RP36227A,RCG,$75.00,
RP36228A,RCG,$75.00,
RP36247A,RCG,$75.00,
RP36223A,RCG,$75.00,
RP36248A,RCG,$75.00,
RP36249A,RCG,$75.00,
RP36229A,RCG,$75.00,
RP36230A,RCG,$75.00,
RP36235A,RCG,$75.00,
RP36234A,RCG,$75.00,
RP38273A,RCG,$75.00,
RP36972A,RCG,$75.00,
RP36975A,RCG,$75.00,
RP35530A,RCG,$75.00,
RP36238A,RCG,$75.00,
RP36250A,RCG,$75.00,
RP36243A,RCG,$75.00,
RP36221A,RCG,$75.00,
RP36224A,RCG,$75.00,
RP36244A,RCG,$75.00,
10446562105,Ready,$80.00,4/1/2025
10447832305,Ready,$80.00,4/1/2025
10445910838,Ready,$80.00,4/1/2025
RP38271A,RCG,$75.00,
RP38270A,RCG,$118.00,
RP38757A,RCG,$75.00,
RP38272A,RCG,$75.00,
RP39320A,RCG,$75.00,
RP39319A,RCG,$75.00,
EF-70230,Expedited,$80.00,
10448376367,Ready,$80.00,4/1/2025
10448375261,Ready,$125.00,4/1/2025
10446237187,Ready,$143.05,4/1/2025
10448282061,Ready,$145.72,4/1/2025
RP39377A,RCG,$75.00,
RP39381A,RCG,$75.00,
RP39379A,RCG,$75.00,
RP40254A,RCG,$75.00,
10395699487,Ready,$100.00,4/1/2025
10394306426,Ready,$100.00,4/1/2025
10393010262,Ready,$80.00,4/1/2025
10395098314,Ready,$80.00,4/1/2025
10395097708,Ready,$80.00,4/1/2025
RN27264A,RCG,$75.00,4/4
705 Copart,PDRevolution Inc.,$150.00,
81997185,United,$240.00,4/21
12706389,Acertus,$100.00,4/4
10378497578,Ready,$79.60,4/1/2025
10378112699,Ready,$80.00,4/1/2025
81996301,United,$80.00,4/8
12688857,Acertus,$85.00,4/21
10381595043,Ready,$75.72,4/1/2025
10381489370,Ready,$75.72,4/1/2025
12712689,Acertus,$80.00,4/8
12712685,Acertus,$80.00,4/8
12712677,Acertus,$80.00,4/8
10376433851,Ready,$127.18,4/1/2025
10381869865,Ready,$77.69,4/1/2025
10381828250,Ready,$77.69,4/1/2025
RN31090A,RCG,$75.00,4/8
RN30627A,RCG,$75.00,4/8
RN30624A,RCG,$75.00,4/8
EF-59037,Expedited,$80.00,4/7
10381568092,Ready,$100.00,4/1/2025
10379613334,Ready,$75.00,4/1/2025
81997707,United,$240.00,4/8
12712681,Acertus,$80.00,4/8
12712669,Acertus,$80.00,4/8
12712661,Acertus,$80.00,4/8
RN33447A,RCG,$75.00,4/8
RN32949A,RCG,$118.00,4/9
RN32950A,RCG,$75.00,4/9
10381789095,Ready,$77.69,4/1/2025
415 Copart,PDRevolution Inc.,$150.00,
10381673567,Ready,$169.78,4/1/2025
10384399405,Ready,$100.00,4/1/2025
10381232673,Ready,$85.00,4/1/2025
EF-59377,Expedited,$80.00,4/10
EF-59384,Expedited,$80.00,4/10
10381179478,Ready,$125.00,4/1/2025
10381179480,Ready,$125.00,4/1/2025
50516,Sill-Terhar,$285.00,
10383878981,Ready,$100.00,4/1/2025
10382355998,Ready,$100.00,4/1/2025
10383025613,Ready,$100.00,4/1/2025
RN36440A,RCG,$75.00,4/16
RN36442A,RCG,$75.00,4/16
RN36441A,RCG,$75.00,4/16
5128629,Sill-Terhar,$175.00,
107316,Carvana,$86.23,
108727,Carvana,$150.00,
10383204632,Ready,$143.48,4/1/2025
31532-76680,RPM,$125.00,4/16
10383202981,Ready,$93.82,4/1/2025
10383292225,Ready,$93.82,4/1/2025
RN36441A,RCG,$75.00,4/16
RN36442A,RCG,$75.00,4/16
RN36440A,RCG,$75.00,4/16
RN36978A,RCG,$75.00,4/16
RN39162A,RCG,$75.00,4/16
RN39163A,RCG,$75.00,4/16
631129,Preowned,$100.00,4/16
12935347,ShipYourCarNow,$80.00,4/21
109143,Carvana,$96.00,
EF-60084,Expedited,$170.00,4/17
10388182853,Ready,$70.64,4/1/2025
10385038816,Ready,$117.03,4/1/2025
10384220107,Ready,$80.00,4/1/2025
10385232076,Ready,$100.00,4/1/2025
10387943754,Ready,$100.00,4/1/2025
10387943745,Ready,$174.02,4/1/2025
307508/A29392/215833,Epic Metrix,$300.00,
10388839766,Ready,$80.00,4/1/2025
10388839699,Ready,$80.00,4/1/2025
041425CO,Helpful Logistics,$100.00,
EF-60199,Expedited,$80.00,4/18
785463,Freight Tech,$175.00,
10387482498,Ready,$159.80,4/1/2025
10386435134,Ready,$125.00,4/1/2025
5326736,Crooza,$225.00,
81905800,United,$80.00,4/21
82214244,United,$75.00,4/21
RN42348A,RCG,$75.00,4/21
RN42347A,RCG,$75.00,4/21
RN42346A,RCG,$75.00,4/21
110002,Carvana,$75.00,
110004,Carvana,$75.00,
5357944,Sill-Terhar,$90.00,
110290,Carvana,$75.00,
12933327,Acertus,$85.00,
110292,Carvana,$75.00,
12911019,Acertus,$100.00,
12911021,Acertus,$100.00,
12883607,Acertus,$155.00,
10391175808,Ready,$100.00,4/1/2025
BRIAN-DEN1-042325,VRCG,$100.00,
BRAD-DEN1-042325,VRCG,$100.00,
12996787,Acertus,$125.00,
12932063,Acertus,$85.00,
82323188,United,$240.00,
RN50104A,RCG,$75.00,
RN50102A,RCG,$75.00,
RN50103A,RCG,$75.00,
10299,Logistic Transit,$160.00,
