Tony,,,,,,,
September,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
9/2/2025,RCG,Brighton,Bennett,RP50923A,,,
9/2/2025,RCG,Brighton,Bennett,RP50924A,,,
9/2/2025,RCG,Brighton,Bennett,RP52265A,,,
9/2/2025,RCG,Brighton,Bennett,RP52327A,,,
9/2/2025,RCG,Brighton,Bennett,RP52888A,,,
9/2/2025,RCG,Brighton,Bennett,RP52850A,,,
9/2/2025,RCG,Brighton,Bennett,RP53588A,,,
9/2/2025,RCG,Brighton,Bennett,RP52328A,,,
9/2/2025,RCG,Brighton,Bennett,RP53667A,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
9/3/2025,RCG,Brighton,Bennett,RP53666A,,,
9/3/2025,RCG,Brighton,Bennett,RP53665A,,,
9/3/2025,RCG,Brighton,Bennett,RP55891A,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
9/4/2025,RCG,Brighton,Bennett,RP55887A,,,
9/4/2025,RCG,Brighton,Bennett,RP55886A,,,
9/4/2025,RCG,Brighton,Bennett,RP55890A,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
9/5/2025,RCG,Brighton,Bennett,RP55885A,,,
9/5/2025,RCG,Brighton,Bennett,RP55892A,,,
9/5/2025,RCG,Brighton,Bennett,RP55888A,,,
9/5/2025,RCG,Brighton,Bennett,RP55889A,,,
9/5/2025,RCG,Brighton,Bennett,RP55882A,,,
9/5/2025,RCG,Brighton,Bennett,RP55883A,,,
,,,,,,,
9/5/2025,RCG,Brighton,Bennett,RP55884A,,,
,,,,,,,
,,,,,,,
,,,,,,,
9/8/2025,RCG,Brighton,Bennett,RP57666A,,,
9/8/2025,RCG,Brighton,Bennett,RP58356A,,,
9/8/2025,RCG,Brighton,Bennett,RP56419A,,,
9/8/2025,RCG,Brighton,Bennett,RP56420A,,,
9/8/2025,RCG,Brighton,Bennett,RP58355A,,,
,,,,,,,
9/11/2025,RCG,Brighton,Bennett,RP60507A,,,
9/11/2025,RCG,Brighton,Bennett,RP60504A,,,
9/11/2025,RCG,Brighton,Bennett,RP60508A,,,
9/11/2025,RCG,Brighton,Bennett,RP60505A,,,
9/11/2025,RCG,Brighton,Bennett,RP61111A,,,
9/11/2025,RCG,Brighton,Bennett,RP60509A,,,
9/11/2025,RCG,Brighton,Bennett,RP60510A,,,
9/11/2025,RCG,Brighton,Bennett,RP60502A,,,
,,,,,,,
9/12/2025,RCG,Brighton,Bennett,RP60500A,,,
9/12/2025,RCG,Brighton,Bennett,RP60506A,,,
9/12/2025,RCG,Brighton,Bennett,RP60511A,,,
9/12/2025,RCG,Brighton,Bennett,RP60501A,,,
9/12/2025,RCG,Brighton,Bennett,RP60503A,,,
9/12/2025,RCG,Brighton,Bennett,RP60499A,,,
,,,,,,,
9/16/2025,RCG,Brighton,Bennett,RP62760A,,,
9/16/2025,RCG,Brighton,Bennett,RP62761A,,,
9/16/2025,RCG,Brighton,Bennett,RP62758A,,,
9/16/2025,RCG,Littleton,Bennett,RP59732A,,,
9/16/2025,RCG,Littleton,Bennett,RP59730A,,,
9/16/2025,RCG,Littleton,Bennett,RP59736A,,,
9/16/2025,RCG,Brighton,Bennett,RP62759A,,,
9/16/2025,RCG,Brighton,Bennett,RP61780A,,,
9/16/2025,RCG,Brighton,Bennett,RP63533A,,,
9/17/2025,RCG,Littleton,Bennett,RP59737A,,,
9/17/2025,RCG,Littleton,Bennett,RP59735A,,,
9/17/2025,RCG,Littleton,Bennett,RP60156A,,,
9/17/2025,RCG,Littleton,Bennett,RP59734A,,,
9/17/2025,RCG,Littleton,Bennett,RP61784A,,,
9/17/2025,RCG,Littleton,Bennett,RP59736A,,,
9/17/2025,RCG,Brighton,Bennett,RP63531A,,,
9/17/2025,RCG,Brighton,Bennett,RP64906A,,,
9/18/2025,RCG,Brighton,Bennett,RP64912A,,,
9/18/2025,RCG,Brighton,Bennett,RP64911A,,,
9/18/2025,RCG,Brighton,Bennett,RP64914A,,,
9/18/2025,RCG,Littleton,Bennett,RP64200A,,,
9/18/2025,RCG,Littleton,Bennett,RP61782A,,,
9/18/2025,RCG,Littleton,Bennett,RP61785A,,,
9/18/2025,RCG,Littleton,Bennett,RP61783A,,,
9/18/2025,RCG,Littleton,Bennett,RP61781A,,,
9/18/2025,RCG,Littleton,Bennett,RP64197A,,,
9/19/2025,RCG,Brighton,Bennett,RP64910A,,,
9/19/2025,RCG,Brighton,Bennett,RP64915A,,,
,,,,,,,
9/25/2025,RCG,Brighton,Bennett,RP69766A,,,
9/25/2025,RCG,Brighton,Bennett,RP69768A,,,
9/25/2025,RCG,Brighton,Bennett,RP69767A,,,
9/25/2025,RCG,Brighton,Bennett,RP69769A,,,
9/25/2025,RCG,Brighton,Bennett,RP69770A,,,
9/25/2025,RCG,Brighton,Bennett,RP69771A,,,
,,,,,,,
,,,,,,,
9/29/2025,RCG,Littleton,Bennett,RP71249A,,,
9/29/2025,RCG,Littleton,Bennett,RP71248A,,,
9/29/2025,RCG,Littleton,Bennett,RP69690A,,,
9/29/2025,RCG,Littleton,Bennett,RP71247A,,,
9/29/2025,RCG,Littleton,Bennett,RP71251A,,,
9/29/2025,RCG,Littleton,Bennett,RP72353A,,,
9/30/2025,Ready,Brighton,Aurora,,,,
9/30/2025,Ready,Brighton,Aurora,,,,
9/30/2025,Ready,Brighton,Aurora,,,,
9/30/2025,RCG,Brighton,Bennett,RP72439A,,,
9/30/2025,RCG,Brighton,Bennett,RP72444A,,,
9/30/2025,RCG,Brighton,Bennett,RP72441A,,,
9/30/2025,RCG,Brighton,Bennett,RP73021A,,,
9/30/2025,RCG,Brighton,Bennett,RP72447A,,,
9/30/2025,RCG,Brighton,Bennett,RP72443A,,,
,,,,,,,
4/29/2025,Ready,Brighton,Aurora,10395699487,$100.00,,
4/29/2025,Ready,Brighton,Aurora,10394306426,$100.00,,
4/29/2025,Ready,Broomfield,Aurora,10393010262,$80.00,,
4/29/2025,Ready,Broomfield,Aurora,10395098314,$80.00,,
4/29/2025,Ready,Broomfield,Aurora,10395097708,$80.00,,
